Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
5,3,2,14,1,9,15,38,Flagstaff,AZ,FlagstaffAZ,141274,7.168649107901448,30.7,62.7,17.599999999999998,36.058298059090845,36.199999999999996,4.3999999999999995,-648,4094.91,6,4080.17,3,40972,1,9001193,3,342,0
5,3,7,3,24,6,5,22,Macon-Bibb County,GA,Macon-Bibb CountyGA,229504,-0.7215406710155192,38.3,56.10000000000001,21.7,49.34075223089794,23.400000000000002,2.8000000000000003,101,2193.39,7,6823.86,13,21380,1,7086562,5,999,0
5,3,7,3,24,30,34,25,Jackson,MS,JacksonMS,597727,12.002480919964098,36.5,61.5,17,53.41217646182956,29.799999999999997,2.5,-1245,9898.65,21,21125.92,22,45586,1,19722252,16,2623,0
4,3,8,11,12,30,34,28,Savannah,GA,SavannahGA,386036,14.898505863444257,35.6,65.9,13.700000000000001,40.438974603404866,31.5,5.7,1726,2844.06999999999,11,8434.74,20,39377,0,7493993,7,1288,0
1,2,9,8,10,25,3,32,Beckley,WV,BeckleyWV,118828,0,43.2,49.3,19.3,9.92527013835123,17.1,1.2,-373,1096.25,13,2744.24,6,4753,0,2185174,4,490,0
5,3,2,14,1,9,11,12,Blacksburg-Christiansburg,VA,Blacksburg-ChristiansburgVA,166785,3.5848037115015607,33.5,56.599999999999994,21.4,12.077824744431453,35.199999999999996,5.3,-476,8779.59,10,2457.42,9,56176,1,9159946,4,250,0
1,2,8,16,12,7,31,3,Elizabethtown-Fort Knox,KY,Elizabethtown-Fort KnoxKY,150913,31.278924110094298,37.7,62.3,13.200000000000001,17.057509956067403,20.599999999999998,3.2,1302,894.699999999999,8,1942.4,6,9425,0,1978214,2,308,0
1,2,8,7,20,19,30,20,Eugene-Springfield,OR,Eugene-SpringfieldOR,373340,7.54243049234351,39.4,59.8,17.599999999999998,13.456366850591953,30.5,5.800000000000001,3329,1982.86,16,6127.14,5,42185,1,8798082,5,619,0
4,1,12,10,16,30,6,1,Jacksonville,FL,JacksonvilleFL,1503574,13.976629687043985,38.3,63.9,12.6,30.717344141359188,31.4,9.3,8930,6555.85,50,29718.12,117,80372,0,18749913,15,4227,0
5,5,2,14,1,9,11,27,College Station-Bryan,TX,College Station-BryanTX,258029,17.79026559176109,27.8,60.5,22.7,23.032682372911573,37.5,12.5,-581,9511.93,20,3491.33,9,73348,1,11538189,7,572,0
4,7,12,18,16,30,35,1,Las Vegas-Henderson-Paradise,NV,Las Vegas-Henderson-ParadiseNV,2182004,15.113681146238944,37.3,64.2,13.700000000000001,39.8419067976044,24.5,22.2,21322,7491.42,76,26573.08,52,107098,1,27588220,23,4421,0
1,2,8,7,20,7,30,26,Panama City,FL,Panama CityFL,182161,9.210542092830853,39.8,61.3,14.6,18.94148582847042,23.7,6.2,160,502.07,4,2590.45,21,7590,0,1744601,5,367,0
4,8,8,10,6,1,6,7,Louisville/Jefferson County,KY-IN,Louisville/Jefferson CountyKY-IN,1257088,-0.3754086343193408,39,65.2,12.5,20.57922754811119,29.599999999999998,5.8999999999999995,-2581,11398.31,48,32138.69,47,70308,1,14971205,15,3740,0
1,2,9,8,10,25,3,32,Sierra Vista-Douglas,AZ,Sierra Vista-DouglasAZ,125867,0,41.1,49.5,16.6,14.528033559233158,23.1,10.7,256,1016.76999999999,4,1279.28,5,10373,0,1655366,4,160,0
1,2,10,4,3,8,17,29,Topeka,KS,TopekaKS,232778,0.6015921447278583,39.9,63.800000000000004,11.1,14.96619096306352,28.7,3.3000000000000003,-131,2218.37,11,9157.43,10,10716,0,1774266,4,723,0
1,2,9,7,20,23,30,40,Williamsport,PA,WilliamsportPA,114330,-1.7580944524644204,41.5,59.8,13.600000000000001,7.938423860753958,23.400000000000002,2,97,994.639999999999,2,1987.26,5,6899,0,2841600,3,433,0
1,6,13,12,21,13,33,30,Punta Gorda,FL,Punta GordaFL,181067,13.60353860149952,59.1,41,11.1,10.062573522508243,23.400000000000002,10.9,3846,124.38,3,2198.39,4,543,0,304637,3,681,0
1,2,9,7,20,23,30,40,Springfield,OH,SpringfieldOH,134726,-3.3349118199951233,41.1,60.5,14.899999999999999,13.157816605554979,18.7,2,276,346.73,2,1821.71,7,10369,0,1520157,2,283,0
4,7,4,18,13,27,20,4,Napa,CA,NapaCA,139623,4.156626955412501,41.3,65.2,7.8,26.611661402490995,35.699999999999996,22.1,-377,964.599999999999,5,4315.55999999999,3,8894,0,957463,2,289,0
5,5,3,5,8,15,29,15,Stockton,CA,StocktonCA,742603,10.241785713755513,34.3,60.4,14.499999999999998,43.53806811984331,18.8,23.3,-823,6568.88999999999,7,6687.37,13,34951,0,8112237,7,1049,0
1,2,15,17,15,11,19,21,Gadsden,AL,GadsdenAL,102748,-1.2665039494167196,41.4,54.300000000000004,17.4,20.166815899092928,17.8,2.8000000000000003,-256,828.43,5,2283.44,5,6678,0,2953119,3,603,0
1,2,9,7,20,19,30,20,Binghamton,NY,BinghamtonNY,241874,-4.08714375785646,40.8,58.3,15.9,12.360154460586918,27.900000000000002,6,-959,2292.36,5,4867.22,6,29074,1,8636390,2,618,0
1,8,10,4,3,24,17,39,Lancaster,PA,LancasterPA,540999,5.818875305623461,38.6,66.2,10.100000000000001,11.549559241329467,27.3,5,-425,4335.99,12,8728.61,8,21531,0,5069038,4,844,0
1,2,10,7,3,19,30,20,Duluth,MN-WI,DuluthMN-WI,289247,3.9197088421589754,41.6,62.2,13.200000000000001,7.958941665773543,27.6,2.3,-571,4728.68,12,12406.23,17,34228,0,5937939,12,1200,0
4,8,14,11,4,24,25,39,Idaho Falls,ID,Idaho FallsID,145507,16.651968958440232,32.8,64.4,9.9,10.013263966682015,29.7,4.9,1156,492.76,4,1659.55,14,2315,0,1008659,3,345,0
1,2,10,4,3,8,1,29,Wausau-Weston,WI,Wausau-WestonWI,163140,22.990862760471643,41.8,67.30000000000001,9.1,8.394017408360916,24.2,3.4000000000000004,-47,972.41,5,2842.23,4,9423,0,517409,4,367,0
4,7,4,18,13,27,20,4,Oxnard-Thousand Oaks-Ventura,CA,Oxnard-Thousand Oaks-VenturaCA,847263,4.719310822168388,38.1,65.60000000000001,8.9,19.899960224865243,33.800000000000004,21.8,-4826,7115.38999999999,26,7177.08,12,65514,0,12072784,7,1087,0
5,3,7,3,24,6,5,22,Valdosta,GA,ValdostaGA,145315,7.9357651655265204,32.1,58.3,24.099999999999998,41.0521969514503,23.200000000000003,3.2,114,2144.45,4,1483.34,7,20479,0,6018687,3,253,0
1,2,8,16,22,19,31,3,Spokane-Spokane Valley,WA,Spokane-Spokane ValleyWA,550160,19.272777727191915,38.2,60.5,13.700000000000001,12.102115748145994,29.7,5.2,2542,8210.07,27,13112.53,15,53232,0,9712234,9,1578,0
1,2,9,7,20,23,30,40,St. Joseph,MO-KS,St. JosephMO-KS,126173,0.11346504800444634,38.9,59.4,15.2,11.431130273513352,20.9,3.1,-670,1184.74,5,1694.64999999999,5,11387,0,2994710,1,352,0
5,4,11,6,9,28,9,37,Gulfport-Biloxi,MS,Gulfport-BiloxiMS,412115,70.91555312248572,38,60.5,18.5,28.39401623333293,21.9,3.8,709,2074.00999999999,8,10052.52,14,732,0,1624765,8,1032,0
5,8,8,16,7,29,27,5,Harrisonburg,VA,HarrisonburgVA,133557,9.179419266235044,34,61.6,16,12.030818302297895,29.599999999999998,10.299999999999999,665,4474.2,7,559.81,3,27940,0,4210966,1,244,0
1,6,13,12,17,18,24,35,Naples-Marco Island,FL,Naples-Marco IslandFL,371453,17.203113611480102,50.8,52.5,11.200000000000001,11.184187501514325,36.4,25.4,6794,788.09,9,5163.75,13,4433,0,1690553,3,919,0
4,1,12,19,19,10,35,1,Charlotte-Concord-Gastonia,NC-SC,Charlotte-Concord-GastoniaNC-SC,2545560,50.8533636751529,37.5,67,11.700000000000001,33.13581294489229,35.099999999999994,10.100000000000001,16031,18950.94,66,42352.13,224,121662,1,30593615,23,4815,2797001
5,8,8,16,7,29,16,9,Amarillo,TX,AmarilloTX,263776,7.585948110956564,35.1,64.7,13.8,15.893030450078854,24.4,9.9,-321,2187.12,12,5453,8,24838,0,5484602,5,907,0
1,4,11,6,9,28,9,37,Myrtle Beach-Conway-North Myrtle Beach,SC-NC,Myrtle Beach-Conway-North Myrtle BeachSC-NC,463987,79.65400147908947,48.1,54.300000000000004,14.099999999999998,18.02097903605058,25.5,5.5,6554,3238.99,12,5471.45,27,24435,0,8635705,6,961,0
1,6,13,12,17,18,24,35,Port St. Lucie,FL,Port St. LucieFL,472012,14.017793087122365,47.8,53.300000000000004,12.2,21.8820707948103,26,14.499999999999998,4967,1714.35,9,6934.97,16,24883,0,3389823,4,1086,0
1,2,9,7,20,23,30,40,Hickory-Lenoir-Morganton,NC,Hickory-Lenoir-MorgantonNC,366678,1.1065308204541324,43,59.5,14.899999999999999,16.56112447433443,18.6,5.2,1684,861.98,7,5545.64,12,16154,0,4988281,4,757,0
5,5,3,9,2,14,10,33,Las Cruces,NM,Las CrucesNM,216069,7.1398819854217255,33.1,57.099999999999994,26.400000000000002,12.851913046295396,27.1,17.2,-1269,3629.31,5,2893.79,11,27342,1,10728292,4,395,0
5,3,15,17,15,11,19,12,Chico,CA,ChicoCA,225817,3.284926933016208,37.1,56.39999999999999,19.1,18.43838152132036,27.200000000000003,7.3,-989,3639.05,3,5892.65,6,33072,0,8882551,3,444,0
4,8,8,10,6,1,6,7,Rochester,NY,RochesterNY,1072877,2.1947237473281644,40.2,63.3,13.4,18.956786285846373,35.099999999999994,7.000000000000001,-3473,25591.1299999999,38,34419.91,20,98841,2,24490742,10,3112,0
1,2,9,7,20,19,30,20,Niles,MI,NilesMI,154133,-1.970972829958273,42.1,61.3,16.1,21.293298644677,27.800000000000004,5.6000000000000005,356,1539.51,4,3102.44,5,9052,0,1474871,2,344,0
5,2,15,17,15,11,19,21,Lakeland-Winter Haven,FL,Lakeland-Winter HavenFL,686218,16.2852727260403,40.2,55.2,15.8,22.933674138539065,20.200000000000003,10,7098,3160.6,16,8438.01,18,34954,0,9228903,5,1617,0
5,3,7,3,24,6,15,38,Greenville,NC,GreenvilleNC,178433,-2.250988813533328,32.5,63.6,22.900000000000002,42.786928426916546,32.7,4.8,1298,7338.13999999999,5,1776.24,5,44460,1,11086249,1,974,0
1,2,8,16,7,7,27,9,Wenatchee,WA,WenatcheeWA,118252,9.335675650686515,38.9,62.2,11.700000000000001,23.54886175286676,23.9,13.700000000000001,-24,625.78,5,3909.74,9,5302,0,870908,4,408,0
4,1,12,19,19,10,22,24,Kansas City,MO-KS,Kansas CityMO-KS,2124518,6.240879964074941,37.4,68.2,10.5,21.747897640782522,37.1,6.9,1472,16000.76,78,58271.69,112,132571,1,18030546,39,6619,7816833
4,7,4,18,13,27,20,4,Santa Cruz-Watsonville,CA,Santa Cruz-WatsonvilleCA,273962,6.641079637681435,37.8,63.800000000000004,13.100000000000001,25.221016053321264,40.8,17.8,-494,4385.08,4,2314.84,6,37951,1,6729781,3,359,0
4,8,14,10,6,1,6,7,Worcester,MA-CT,WorcesterMA-CT,941338,18.877572282804312,40.3,66.10000000000001,10.299999999999999,15.634235524328139,34.9,11.200000000000001,-5347,13649.82,51,22639.71,61,67540,2,13177529,11,1778,0
1,2,10,7,22,19,30,26,Roanoke,VA,RoanokeVA,313009,2.6275840587550725,42.8,61,12.9,19.147372759249734,27.700000000000003,4.7,-1371,2163.34,13,11020.23,13,17387,0,4370418,3,1179,0
1,2,10,4,3,8,1,29,Staunton,VA,StauntonVA,121651,0,43.7,59.9,10.7,11.275698514603251,25.6,3,433,934.72,5,2993.38,6,7893,0,2332292,1,209,0
1,2,10,4,3,8,1,29,Jefferson City,MO,Jefferson CityMO,151273,2.369190374360497,38.7,61.5,10.299999999999999,11.005268620308978,27.700000000000003,2.3,-233,1334.6,5,2928.2,5,8581,0,3423758,3,243,0
4,8,2,1,18,26,14,18,Kalamazoo-Portage,MI,Kalamazoo-PortageMI,262745,-18.8635430208967,34.4,66.8,14.899999999999999,19.23119374298274,38.800000000000004,5.2,-984,6669,9,6734.84999999999,13,38739,1,7070068,4,807,0
4,8,8,16,7,24,16,5,Waterloo-Cedar Falls,IA,Waterloo-Cedar FallsIA,169556,2.241946960286545,36.3,67.5,13.8,13.42329377904645,29.2,5.3,-115,4957.79,20,4009.71,14,22590,0,3775860,6,560,0
1,8,10,4,22,24,17,39,Bremerton-Silverdale-Port Orchard,WA,Bremerton-Silverdale-Port OrchardWA,265882,7.498301905100746,39.1,62.3,8.7,19.131419200998938,33.2,6.5,1991,1666.04,17,2143,4,9815,0,393919,1,232,0
1,2,9,7,20,23,30,40,Canton-Massillon,OH,Canton-MassillonOH,399736,-1.3810832547972773,42.3,62.4,13.5,11.473572557888206,22.1,2,-982,3652.64999999999,8,7234.05999999999,8,30991,0,6076994,5,1118,0
1,2,9,8,10,25,3,32,Kingsport-Bristol,TN-VA,Kingsport-BristolTN-VA,306546,-0.35463874631465053,45.3,53.6,16.6,4.985548661538562,21,1.4000000000000001,159,2122.06999999999,9,5128.29,12,14700,0,5493958,8,989,0
1,2,9,7,20,23,3,40,Terre Haute,IN,Terre HauteIN,186908,8.625759882835649,38.6,57.99999999999999,16.6,9.353799730348621,20.200000000000003,2.1,104,4168.15,4,3525.55,8,18941,0,6251355,5,512,0
5,3,15,17,15,11,19,21,Fort Smith,AR-OK,Fort SmithAR-OK,249777,-15.179741780370692,38.7,56.89999999999999,19,22.94887039239001,18.099999999999998,5.8999999999999995,1205,1353.59,7,4095.26,14,10357,0,3942193,9,849,0
1,2,8,10,6,19,31,3,Knoxville,TN,KnoxvilleTN,853337,24.513850890440448,40.4,60.3,14.6,10.720032062362232,29.7,4.1000000000000005,3506,9538.3,27,15752.26,50,65110,1,18194842,11,2454,0
1,2,10,4,3,8,1,29,Chambersburg-Waynesboro,PA,Chambersburg-WaynesboroPA,154147,0,41.6,63,9.3,7.575236624780242,21.6,3.8,-157,568.579999999999,3,1662.37,3,3458,0,659885,2,342,0
1,2,10,4,3,8,1,29,Gettysburg,PA,GettysburgPA,102470,0,43.9,63,7.8,7.252854493998244,22.3,4.1000000000000005,181,1257.79,2,823.8,1,3043,0,677973,1,76,0
4,8,10,4,4,24,17,39,California-Lexington Park,MD,California-Lexington ParkMD,112290,0,36.7,66.9,8.1,21.96544661145249,31.900000000000002,5.1,-877,675.28,4,1217.87,4,1810,0,521177,1,96,0
4,8,2,1,18,26,18,18,Columbia,MO,ColumbiaMO,205369,22.10753506513583,32.1,65.9,17.2,17.652128607530834,42.699999999999996,6.1,-841,5101.04,4,11195.5,10,51674,1,6716776,4,966,0
4,8,10,20,4,24,17,39,Portland-South Portland,ME,Portland-South PortlandME,532075,3.6902281837864592,43.7,67.80000000000001,8.5,6.547949067330733,41,4.8,1262,6262.99,35,12739.78,14,42519,1,7415788,7,1321,13985224
5,3,7,6,9,28,9,37,Jackson,TN,JacksonTN,178442,56.29362973084233,39.1,57.3,17.5,32.02609251185259,21.7,2.6,-381,974.6,6,4746.18,5,15234,0,7868086,2,660,0
4,8,14,20,18,26,32,8,Burlington-South Burlington,VT,Burlington-South BurlingtonVT,218784,4.490856381429076,37.8,69.1,11.1,8.656940178440836,44.5,7.3999999999999995,-948,5044.98,16,6180.18,3,24816,1,3017437,2,546,0
4,1,12,19,19,10,35,34,Portland-Vancouver-Hillsboro,OR-WA,Portland-Vancouver-HillsboroOR-WA,2445761,12.66629230408498,38.1,66.9,10.6,18.875352088777277,39.800000000000004,12.6,10232,20925.29,180,36151.4,43,171326,1,22408473,19,4208,3511258
1,2,10,4,22,2,26,6,Pittsfield,MA,PittsfieldMA,126425,-3.8797822516878577,47.1,62.4,10.9,9.44433458572276,33.6,6.1,-79,3090.84,7,654.81,4,7410,0,1862246,2,300,0
5,3,8,6,9,28,31,3,Winston-Salem,NC,Winston-SalemNC,666216,42.07394833255851,40.6,60.3,16,24.240186365983405,26.6,6.800000000000001,1610,9183.93999999999,21,23129.58,19,34926,1,8413173,7,1815,0
5,3,7,3,24,6,5,22,Mobile,AL,MobileAL,430655,5.392540746904206,38.1,56.39999999999999,18.9,41.09275406067502,22.8,3.1,-784,4842.37,16,9060.26,39,26344,1,8980267,7,1511,0
1,2,8,7,22,19,30,26,Chattanooga,TN-GA,ChattanoogaTN-GA,556209,7.316588460469853,40.4,60.699999999999996,13.200000000000001,18.54051264902222,27,4,1431,3198.99,13,8806.92,23,29355,0,10241593,6,1857,0
1,2,10,4,22,19,26,20,San Luis Obispo-Paso Robles,CA,San Luis Obispo-Paso RoblesCA,282165,6.246022810710272,39.2,58.5,12.5,14.545390108624387,35.4,10.100000000000001,58,5556.41,3,4287.43,8,40759,0,4544866,4,350,0
4,8,14,20,4,17,13,16,Grand Rapids-Kentwood,MI,Grand Rapids-KentwoodMI,1062392,37.50493450216859,35.8,67.60000000000001,11,16.0968832596631,32.7,6.800000000000001,533,8503.52,22,32544.98,37,74083,0,13161936,13,2497,0
5,3,15,3,24,6,5,22,Goldsboro,NC,GoldsboroNC,123603,2.915022231103559,37.8,60.3,20.200000000000003,36.311416389569835,19,7.5,-237,1071.46,5,1838.96,2,8240,0,1518902,1,274,0
4,1,12,19,19,10,35,34,Salt Lake City,UT,Salt Lake CityUT,1201043,10.101774032679156,32.7,71.39999999999999,9,20.321004327072387,35,12.4,999,20782.09,118,30063.02,59,284432,1,47107421,16,2717,0
1,2,9,8,10,25,3,32,Wheeling,WV-OH,WheelingWV-OH,141475,-4.636882052388202,44.5,55.00000000000001,12.9,5.953702067503093,21.4,1.3,-374,1203.17999999999,11,4103.46,11,10102,0,3115847,4,510,0
4,8,14,1,18,26,32,8,Fort Collins,CO,Fort CollinsCO,344786,18.41723851326753,36,67.4,11.600000000000001,8.651453365275852,47.3,5.6000000000000005,-392,7082.19,12,10516.0399999999,8,38940,1,6144787,5,700,0
4,7,4,18,13,27,20,4,Santa Rosa-Petaluma,CA,Santa Rosa-PetalumaCA,499772,5.4266771016376,42.1,65.2,9.2,25.23250602274637,35.5,16.400000000000002,-1441,4213.44,11,5429.95,11,40380,0,4724766,8,826,0
1,2,9,7,20,23,19,40,Battle Creek,MI,Battle CreekMI,134212,-2.115059221658211,39.8,59.9,16.400000000000002,18.703245611420737,21,4.2,-330,670.87,3,4165.85,6,9108,0,1572159,3,301,0
1,2,10,4,3,8,1,29,Glens Falls,NY,Glens FallsNY,125892,-2.2539694863931037,45.5,60.699999999999996,10.299999999999999,5.364915959711499,26.1,3,110,222.36,2,2093.27,2,5563,0,2499926,1,334,0
1,8,10,4,22,24,17,39,Bend,OR,BendOR,186251,20.49777444231664,42.4,63.1,10.8,6.784393103929644,35.4,4.6,604,493.2,15,3639.99,2,10157,0,1773806,2,341,0
5,8,2,14,1,9,11,27,Bloomington,IN,BloomingtonIN,167296,0.35391647571172413,31.1,61.6,22.400000000000002,12.563958492731448,40.8,7.3,-293,11591.27,3,2617.72,6,46561,1,7758343,1,290,0
1,2,9,8,20,23,3,40,Mansfield,OH,MansfieldOH,121100,-3.8736307350373034,41.1,56.49999999999999,13.5,13.308835672997525,18.3,1.7000000000000002,199,671.91,5,1424.2,5,5622,0,2244186,3,300,0
4,8,8,10,6,1,6,7,Wichita,KS,WichitaKS,637690,4.6451902990401805,36,66.3,13,19.109441891828318,30.599999999999998,7.3999999999999995,-591,6830.66,31,11011.42,41,49678,1,11057067,16,1804,0
5,8,8,11,12,29,25,28,Jacksonville,NC,JacksonvilleNC,195069,15.284237649742627,26.4,70.7,13.200000000000001,25.27874752010827,22.900000000000002,4.2,-347,1017.19,4,1413.15,4,6682,0,1584318,1,149,0
4,3,8,10,6,30,6,25,Tulsa,OK,TulsaOK,990544,7.976851140274288,37,63.9,14.299999999999999,28.771563908317045,27.700000000000003,6.6000000000000005,489,7208.51,35,19931,49,54006,1,19597217,26,3164,0
5,3,15,17,15,11,19,21,Beaumont-Port Arthur,TX,Beaumont-Port ArthurTX,395174,2.753891877696102,36.9,56.99999999999999,15.9,30.74746820387981,18.4,8.7,1129,3800.75,10,4536.07,14,29947,0,6501011,9,1032,0
4,8,14,6,9,28,31,3,Crestview-Fort Walton Beach-Destin,FL,Crestview-Fort Walton Beach-DestinFL,272056,49.41892396581646,38.6,62.3,11.5,19.649263386949745,30.4,6.6000000000000005,1217,612.73,6,2853.11,25,8506,0,2115965,5,558,0
5,8,2,14,1,9,11,18,Lafayette-West Lafayette,IN,Lafayette-West LafayetteIN,228541,15.66425426387974,30,64.1,17.4,16.054012190372845,34.5,10.4,-1058,11037.23,4,4998.55,9,47941,1,6515253,4,451,0
4,7,4,18,13,27,29,4,Vallejo,CA,VallejoCA,441829,7.752132708356707,38.1,63.2,9.5,47.39209060518888,26.900000000000002,20.1,-1177,2818.82,9,5437.33,11,17426,0,2745824,4,688,0
4,8,10,4,6,1,6,7,Allentown-Bethlehem-Easton,PA-NJ,Allentown-Bethlehem-EastonPA-NJ,837610,3.1505110051759377,41.4,64.2,10.4,16.02058237127064,29.5,9.3,905,8530.31,25,20937.32,20,55609,1,13304495,12,2668,0
4,8,10,4,22,24,17,39,Olympia-Lacey-Tumwater,WA,Olympia-Lacey-TumwaterWA,279711,14.841334685481788,39,62.5,10.4,18.504456385340585,35.699999999999996,8.1,587,2632.51,19,3915.31999999999,13,13326,0,2069900,2,401,0
4,8,14,20,18,17,32,8,Madison,WI,MadisonWI,653725,17.20879112998077,36.2,71.8,10.299999999999999,13.987227045011283,46.1,7.6,-1285,11600.46,21,25299.84,17,76010,1,6227006,11,1667,0
1,2,10,4,3,8,1,29,Sheboygan,WI,SheboyganWI,115178,-0.13006381798001954,41.5,66.5,7.199999999999999,11.246939519699943,25.1,5.6000000000000005,34,403.38,4,393.81,2,3098,0,549739,2,173,0
5,3,7,6,12,28,34,28,Warner Robins,GA,Warner RobinsGA,180652,33.935349940688006,35.7,64.60000000000001,15.1,41.36627327679738,27.200000000000003,5.7,914,1406.63,6,2009.44,8,15206,0,3910892,4,358,0
1,2,9,8,10,25,3,32,Morristown,TN,MorristownTN,140912,4.475221685103348,42.6,55.900000000000006,15.9,7.473458612467356,15.7,4.1000000000000005,62,573.19,4,1051.31,3,12245,0,6465781,2,173,0
1,2,9,7,20,23,30,40,Albany-Lebanon,OR,Albany-LebanonOR,125048,0,39.6,58.699999999999996,13.3,10.40560424796878,19.3,4.3999999999999995,-57,126.56,6,1279.15,3,10347,0,1398014,2,95,0
4,8,8,16,7,29,16,5,Fort Wayne,IN,Fort WayneIN,406305,-1.3983162932241555,36.4,66.8,13,19.59660845916245,27.800000000000004,6.3,222,4107.71,9,15692.19,12,25364,0,6073141,9,1658,0
4,8,2,1,18,26,18,18,Lawrence,KS,LawrenceKS,120290,10.305175512599485,29.8,71,18,17.589159531133095,49.6,7.1,-1106,9646.01,8,292.02,1,35484,1,4784659,1,142,0
5,3,8,11,12,29,34,28,Killeen-Temple,TX,Killeen-TempleTX,444716,14.485336518658865,31.6,63.6,13.600000000000001,33.910855467309474,23.3,7.9,1001,3779.22,25,13783.59,15,42705,0,5470078,6,1012,0
5,3,7,3,24,6,5,22,Rocky Mount,NC,Rocky MountNC,146678,-2.63592854914404,41.7,59.199999999999996,18.2,52.48844407477604,18.2,3.4000000000000004,212,378.31,5,825.079999999999,5,9872,0,2732006,3,350,0
4,7,4,18,13,27,20,4,Santa Maria-Santa Barbara,CA,Santa Maria-Santa BarbaraCA,444829,6.916940471240296,33.8,64.1,13.5,22.492013785072466,34.2,23,-613,8558.04,15,6124.82,10,69966,1,13067724,5,887,0
4,8,14,1,18,26,18,18,Provo-Orem,UT,Provo-OremUT,616791,24.37258278519605,24.8,69.1,10.7,8.311405322062091,40.300000000000004,7.3,-1118,18328.07,16,6783.79,16,91610,1,9436651,7,771,0
5,7,4,5,8,27,29,15,Salinas,CA,SalinasCA,433410,6.375250039883662,34.4,61.1,13.100000000000001,46.70358321220092,24.7,29.799999999999997,-1073,4242.19,5,3886.47999999999,6,45983,0,7127315,4,748,0
5,3,2,14,1,9,15,38,Tallahassee,FL,TallahasseeFL,382197,6.050650543437541,33.8,61.9,20,39.3901574319003,38.4,6.1,-704,7746.29,12,6917.46,13,77152,2,22081685,4,798,0
4,8,2,1,18,26,14,18,Bloomington,IL,BloomingtonIL,172578,-8.815774874116967,33.1,65.7,14.899999999999999,16.717078654289654,44.800000000000004,6.6000000000000005,-1989,5052.97,5,2875.63,6,33503,1,8051023,3,377,0
5,5,3,5,8,22,27,15,Modesto,CA,ModestoCA,543194,6.575080148013868,34.1,61,15.1,23.432328044860583,17.1,20.3,-1500,4131.55,9,6773.15,16,37920,0,9400050,6,1098,0
1,2,10,4,3,7,30,26,Racine,WI,RacineWI,195602,0.4447046257497256,40.2,63.800000000000004,12.4,19.120970133229722,25.2,4.7,-125,192.92,6,2671.08,4,157,0,87970,2,316,0
1,2,9,7,20,23,30,40,Cleveland,TN,ClevelandTN,122563,7.622802550007912,40.3,60.199999999999996,15.9,9.302970717100594,20.8,5.2,-255,685.85,4,896.26,2,11002,0,3416777,1,183,0
5,5,3,9,2,14,10,33,McAllen-Edinburg-Mission,TX,McAllen-Edinburg-MissionTX,855176,16.038986502897657,29.2,58.4,29.7,13.732494831473288,18.7,26.8,555,5737.73,29,10255.93,25,83692,1,36173344,8,2181,0
5,3,7,3,24,6,34,22,Montgomery,AL,MontgomeryAL,373544,0.8068999390102416,37.4,59.4,17.299999999999997,49.83375452423275,30,3.6999999999999997,1172,3994.97,27,6064.85,12,22278,0,9697796,8,1069,0
5,5,3,5,8,15,10,15,Yuma,AZ,YumaAZ,209468,9.941950180027925,34.6,54.50000000000001,19.400000000000002,23.680944106020966,15,26.3,1771,655.39,3,2272.18,6,11781,0,2452265,2,447,0
5,3,2,14,1,9,11,38,Gainesville,FL,GainesvilleFL,323799,24.094201509983513,33.7,57.8,21,27.55196896840324,37,9.4,-1195,7151.34,11,17544.309999999998,12,83750,1,11750045,4,1551,0
5,3,7,3,24,6,15,38,Tuscaloosa,AL,TuscaloosaAL,250681,17.275466190106382,34.4,57.099999999999994,19.2,39.40506061488505,27.400000000000002,3.4000000000000004,398,8049.48,12,6673.27,10,50478,1,8565829,4,831,0
1,2,10,4,22,2,26,6,Daphne-Fairhope-Foley,AL,Daphne-Fairhope-FoleyAL,212830,0,43,57.699999999999996,10.4,13.794577832072546,31.900000000000002,3.6999999999999997,934,1764.99,11,2233.46,15,48630,0,4703564,3,298,0
4,1,12,10,19,10,22,24,Cincinnati,OH-KY-IN,CincinnatiOH-KY-IN,2201741,4.328235716675244,37.9,65.9,12.2,18.241927638173607,33.6,4.8,-630,20163.11,64,56486.53,64,142648,2,25869744,29,5629,149617325
4,8,2,1,18,26,18,18,Iowa City,IA,Iowa CityIA,170677,14.841205759655507,31.3,71.1,17,16.537670570727165,48.3,10.9,-1447,8972.05,24,13232.43,7,35468,1,4145521,3,1064,0
5,5,3,9,2,15,10,15,Visalia,CA,VisaliaCA,461898,7.567232722564299,31,59.099999999999994,23.799999999999997,26.29065291471277,14.6,21.8,-778,2344.3,7,1573.76,8,33575,0,19044867,2,595,0
4,8,14,20,4,17,13,16,Ogden-Clearfield,UT,Ogden-ClearfieldUT,662875,25.927537167976844,31.8,68.5,7.3999999999999995,9.854195738261362,31.4,5.4,417,5760.73,19,6636.79,18,46682,0,4834488,9,1090,0
