Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
1,6,13,12,21,13,33,30,Lake Havasu City-Kingman,AZ,Lake Havasu City-KingmanAZ,207695,4.27659820159958,51.6,45.1,16.400000000000002,9.76528082043381,12.9,6,6196,312.67,3,3413.44,7,5713,0,818042,4,512,0
1,2,10,4,3,19,30,26,Davenport-Moline-Rock Island,IA-IL,Davenport-Moline-Rock IslandIA-IL,381175,1.178278688524581,39.7,63.4,12.5,14.870597494589099,26.900000000000002,5.2,-1381,4592.63999999999,32,6602.6,16,30551,0,4511967,8,1073,0
4,8,14,20,4,17,13,16,Des Moines-West Des Moines,IA,Des Moines-West Des MoinesIA,680439,23.069730090488317,36.2,71.6,9.3,13.136813145630983,36.5,7.7,1261,9938.93,60,13311.62,47,48998,0,5780793,8,1717,0
1,2,10,4,22,19,30,20,Springfield,IL,SpringfieldIL,209167,0.5658925909899581,40.4,63.6,14.2,17.228817165231607,33.900000000000006,3.1,-940,2872.81,5,7926.56,9,17127,0,4123822,2,878,0
4,7,14,10,16,5,7,8,Durham-Chapel Hill,NC,Durham-Chapel HillNC,626695,28.287561309129018,37.6,64.60000000000001,14.2,37.50708079687887,45.300000000000004,11.700000000000001,2172,27865.66,21,41248.97,12,70897,2,11547705,8,2444,0
4,8,14,20,4,17,13,16,Omaha-Council Bluffs,NE-IA,Omaha-Council BluffsNE-IA,931779,10.162800595871468,35.7,70.7,10.299999999999999,16.0280495696941,36.3,7.3999999999999995,-2950,14675.7199999999,55,20290.16,54,84246,1,9262652,18,2611,0
1,2,9,8,20,23,3,40,Longview,WA,LongviewWA,106778,5.466002923630042,41.3,56.3,14.399999999999999,11.042536852160557,17,4,317,540.42,3,1112.91,1,4163,0,669295,1,180,0
4,1,12,19,19,10,35,34,Austin-Round Rock-Georgetown,TX,Austin-Round Rock-GeorgetownTX,2114441,29.913902373537017,34.7,70.6,10.8,24.04824726724463,44.800000000000004,15.2,13251,21631.63,52,28485.13,60,178531,2,39892340,30,3694,0
4,8,8,11,7,29,16,9,Sioux City,IA-NE-SD,Sioux CityIA-NE-SD,143846,1.4471698379339148,36,69.3,12.6,15.487396243204538,22.5,10,-1127,1353.94,17,2192.82,14,12971,0,2348462,4,429,0
5,3,15,17,15,11,19,21,New Bern,NC,New BernNC,124786,0,39.3,58.3,15.7,29.401535428653858,23.3,4.3,-371,257.3,8,1763.74,3,5154,0,516697,1,215,0
1,6,13,12,21,13,4,17,The Villages,FL,The VillagesFL,125044,0,67.4,22.5,8.200000000000001,10.999328236460766,31.8,5.3,2779,383.44,2,1157.02,5,193,0,372140,1,40,0
1,2,8,7,20,7,30,26,Kankakee,IL,KankakeeIL,110637,-1.305084745762708,37.7,61,14.2,20.439816697849725,20.8,4.9,-1098,1138.69999999999,4,3096.18,6,11017,0,1848675,2,482,0
1,6,13,12,17,18,24,35,North Port-Sarasota-Bradenton,FL,North Port-Sarasota-BradentonFL,803709,15.671707307946381,52.5,51,10.299999999999999,11.718793742511282,32.800000000000004,12.5,14742,2143.56,14,13547.79,25,23552,0,7969462,8,2182,0
4,1,12,10,6,1,6,7,Providence-Warwick,RI-MA,Providence-WarwickRI-MA,1618268,0.9636753176584856,40.3,65.10000000000001,12,18.281520736985467,32.300000000000004,13.3,-1168,22414,73,34587.33,47,122496,3,32824089,15,3133,82706770
5,5,3,9,2,15,10,15,Bakersfield,CA,BakersfieldCA,887641,8.820475350407575,31.6,58.3,21,25.629054989573486,16.400000000000002,19.900000000000002,-2419,7155.71999999999,17,9059.31,34,74372,0,17166477,11,1648,0
