Cluster ID,totpop_19,popchange,medage,poc,highed,forborn,net_mig,medearn,pov,labfor,ownerocc,highered_emp_qcew,highered_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_associatescolleges,inst_ipeds_baccalaureatecolleges,inst_ipeds_doctoralunihighrese,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,hospital_emp_qcew,hospital_estab_qcew,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medbeneficiaries
11,386512.8,7.616764517663495,31.42,23.02975322833183,31.66,15.49,-631.5,25616.5,22.16,60.57,58.510000000000005,9454.099,10.2,1557736360.4,32621955.8,227650.8,54492.7,1.3,0,0.8,47304.5,7188.2,21898.8,17020326.2,5227.917,11,4.2,758.9,36422.1,29436.1,0,52988.5
12,1584216.75,10.445478073094545,37.96666666666667,28.25273669895323,33.71666666666667,8.25,563.3333333333334,36609.25,11.875,66.44166666666666,67.71666666666667,14721.924166666666,50.833333333333336,1541689942.3333335,69478292.33333334,348311.6666666667,97284.5,2.333333333333333,1.9166666666666665,0.8333333333333333,83664.33333333334,13620.166666666668,38231.166666666664,17319248.833333332,39836.245833333334,72.25,19.666666666666668,4234.75,192354.3333333333,157512.08333333334,15807354.666666666,269089.4166666667
13,266563.55,4.494299808057822,39.03,14.982577381727824,23.48,4.5600000000000005,666.25,30537.3,14.92,60.415,69.505,2363.554499999999,9.75,142875342.75,474067.19999999995,183413.45000000004,17362.45,0.95,0.7,0.10000000000000002,15583.9,1778.55,6901.1,5135672.75,5480.804999999994,16.95,5.6,842.7,36978.95,32519.6,0,55777.05
14,254530.38095238095,4.596158944929028,40.17619047619048,13.098700876303653,27.323809523809523,5.6380952380952385,243.7142857142857,36214.42857142857,9.857142857142858,64.93809523809524,72.85714285714286,1660.9080952380946,8,115941059,96630.33333333333,84977.33333333333,10378.809523809523,0.6190476190476191,0.8095238095238096,0,9769.47619047619,609.3333333333333,4019.2380952380954,2011805.0952380951,3837.0890476190466,6.571428571428572,2.7142857142857144,434.04761904761904,20311.571428571428,18361.761904761905,0,47374.90476190476
15,211900.2,4.2862300518183405,55.52,10.956334631641788,21.8,6.1,3726.4,26179.8,13.88,40.42,80.17999999999999,704.303999999998,4.4,14405878,0,0,9224.2,0.4,0.4,0,9104,120.2,4332.4,1753353.2,2672.846,6.8,2.8,382.2,18736,12968.4,0,77667
16,372041.71428571426,15.305867703634696,34.74285714285715,20.012082737389694,45.9,9.4,-466,34533.28571428572,12.957142857142857,68.71428571428571,61.48571428571429,12081.752857142841,19.428571428571427,5607533964.142858,338546562.85714287,289723.5714285714,55746.42857142857,0.8571428571428571,0.5714285714285714,1.2857142857142858,42679.142857142855,13067.285714285714,28473.428571428572,7280567.857142857,20954.714285714286,13.571428571428571,5.857142857142857,1408.857142857143,62899.857142857145,93290,0,56242.42857142857
17,1191608.8,9.318027961691138,37.35,21.75634906275561,31.15,7.510000000000001,161.59999999999982,35585.3,11.690000000000001,66.3,67.54,15759.149999999978,40.2,2995923202.1000004,143249063.3,328438.9,91172.4,3.4,2.4,1.2,73842.1,17330.3,36757.2,17617706.9,30756.432,45.5,20,3681.2,157979.7,142980.3,28493492.4,214264.8
18,235187.33333333334,0.9757803915705217,41.77777777777778,12.77399957506051,20.855555555555554,3.6,982.7777777777778,31210.333333333332,14.033333333333333,58.48888888888889,70.96666666666667,1307.5099999999989,6.333333333333334,24527552.333333336,47813.33333333334,99519.66666666666,14298.777777777777,1,0.4444444444444444,0.11111111111111108,13161.555555555555,1137.2222222222222,5605.333333333333,2887816.888888889,3502.0211111111103,7.333333333333334,3.111111111111111,559.6666666666666,24819.333333333332,20101.666666666668,0,54318.666666666664
19,6108486.3,9.574609032033337,37.69,37.13011842077444,44.36,20.55,-23924,45632.8,10.01,68.21,62.24,78646.2759999999,208.7,24131468949.9,766311017.5,366355.2,498658.1,12,5.5,5.7,388365.7,110292.4,197934.8,91540480,130900.9749999999,154.8,52.5,14037.9,654986.2,493827.2,179087961.6,920801.1999999998
20,272229.25,9.992440089765747,40.50833333333333,28.8787080817408,21,8.4,2095.083333333333,29181.583333333332,16.741666666666667,56.94166666666666,69.54166666666667,1504.7933333333324,7.416666666666666,8432557.083333332,39253.5,15013.833333333332,15099.166666666668,0.8333333333333333,0.5833333333333334,0,14467.333333333332,631.8333333333333,5968.166666666666,3735985.083333333,3619.8375,8.5,2.75,583.9166666666667,28305.333333333336,17371.833333333332,0,60023.83333333333
21,287632.4117647059,28.55694307476091,41.87647058823529,19.560923756369945,26.976470588235294,7.5,1791.1764705882354,30322.29411764706,14.229411764705883,58.44117647058824,70.9235294117647,1350.8335294117624,8.470588235294118,9523606.764705881,38358.52941176471,46448.82352941177,10026.470588235294,0.7647058823529411,0.2941176470588235,0.05882352941176469,9499.882352941177,526.5882352941177,3592.3529411764707,2693657.7647058824,5175.643529411765,12.352941176470589,3.8235294117647056,688.0588235294117,31948.35294117647,26386.176470588234,0,69443.41176470587
22,1005004.0625,9.564124768462218,37.38125,20.71341059257694,38.25,11.025,1386.5,37195.1875,11.825000000000001,66.24375,64.7375,14969.878125,43.25,4662093172.5625,99505695.3125,352893.6875,130070.75,2.375,1.0625,1.3125,107454.1875,22616.5625,51212.875,20889637.4375,20952.93749999999,36.6875,11.25,2192.625,105191.25,84451.3125,5684805.5625,164733.875
23,352685.8,11.022779978817663,32.17,24.946528568155788,17.02,20.94,-279.70000000000005,27511.6,21.37,57.93,60.37,2367.609999999999,6.5,4981493.4,78965,299999.7,22256.2,1.1,0,0,21695.9,560.3,8514,7733797.4,3851.464,10,3.7,613,28517.9,18780.5,0,46674.1
24,206081,-0.4886823020250946,45.68333333333334,14.141576246479152,20.841666666666665,4.608333333333333,433.58333333333337,28731.75,16.53333333333333,51.958333333333336,73.075,1130.5008333333324,6.916666666666667,30897569.083333336,0,59528.25,8017.166666666667,0.9166666666666667,0.6666666666666666,0,7624.416666666667,392.75,2994.5,2589419.0833333335,4168.825,9.75,5.5,744.6666666666666,33261.75,30997.5,0,53355.166666666664
25,248960.5,10.652497333565078,41.35,11.434554862765932,22.366666666666667,5.433333333333334,936.3333333333334,29944.833333333332,14.633333333333333,57.03333333333333,70.25,2225.1683333333335,7,233863575.3333333,95871.5,125810.33333333334,21859.833333333336,0.8333333333333333,0.33333333333333337,0,19660,2199.833333333333,8328.333333333334,5987872.833333333,3675.083333333331,7.333333333333333,2.5,543.5,26027,18249.333333333332,0,60137
26,708002.25,8.916704935699723,37.8625,22.86938288849523,30.1625,8.225,-529.625,34689.5,12.55,65.15,67.25,6204.3462500000005,24.25,686228341,83717983.125,139126.5,39590,1.75,1,0.625,33978.875,5611.125,16281.75,10048236.75,23899.449999999986,24.625,13.5,2833,122952.125,123311.5,534453.625,133976.875
27,313742.8333333333,18.014832879472667,37.56666666666666,39.27942946190284,22.083333333333336,2.6500000000000004,-1135.8333333333333,30298.833333333332,20.333333333333332,57.55,65.98333333333333,2851.02,9.5,37004393.333333336,4945710.666666667,267166.6666666666,21419,1.5,0.6666666666666667,0.33333333333333337,18178.833333333332,3240.166666666667,9266,8287110.5,7854.6749999999965,31.166666666666668,9.333333333333334,1215,54394.166666666664,39645.333333333336,0,58637.166666666664
28,222454.14285714287,4.495094547722673,37.05714285714286,15.645460558139186,27.1,5.385714285714286,273,27399,19.2,57.98571428571428,63.41428571428572,3914.4357142857143,7.571428571428571,556870677.7142857,13095875.142857144,152625.7142857143,36649.57142857143,1,0,0.7142857142857143,30623.85714285714,6025.714285714285,16278,7967586.142857143,4054.802857142857,7.428571428571429,3,460,26412.428571428572,20531.571428571428,0,44932.71428571428
29,168021.25,4.439188430252034,36.35,10.01554159091682,29.225,4.3,-20.75,31416.5,12.725,68.425,68.275,4171.554999999998,8.75,139866087.25,0,347712.25,25323,1,1,0,23057.5,2265.5,11144.5,4094352,6235.35,8,4.75,570.25,23056.25,27985.25,0,31523.75
30,258122.16666666666,11.556414645822086,35.18333333333334,22.880239186800438,26.15,8.35,436.33333333333337,31457.166666666668,14.100000000000001,63.88333333333333,65.73333333333333,1825.0933333333332,10.166666666666666,89574180.5,0,131489,14895.333333333334,0.8333333333333334,0.33333333333333337,0,14006.5,888.8333333333334,6109.333333333333,3693252.1666666665,3190.0649999999982,6.333333333333333,2.6666666666666665,350.3333333333333,17111.166666666668,12545.666666666666,0,42799.833333333336
31,253494.1666666667,2.718915152938628,41.31666666666666,9.15504864074768,30.8,4.45,152.66666666666666,35465.5,9.783333333333333,66.61666666666667,71.56666666666666,3494.39,14.333333333333332,818706261.6666666,843063.6666666666,236622.1666666667,22236.5,1,1.3333333333333333,0.16666666666666666,20245,1991.5,7994.333333333333,3847056.5,5098.308333333333,9.333333333333334,4.166666666666667,601.1666666666666,25069.666666666668,33667.666666666664,2467988.5,52141
32,514421.5,20.947864845708875,34.5,14.79804991322866,33,7.8,2298,35903.5,10,67.9,71.05000000000001,5935.515,26,383454868.5,192582.5,82170.5,58914,1.5,1,0.5,52224,6690,20427,9301296.5,4416.055,7.5,4.5,737,34108,25757.5,0,74626
33,1821645.6666666665,11.513726345438364,34.88333333333333,35.38666060194714,22.5,21.45,2193.833333333333,31866,14.266666666666666,61.833333333333336,59.86666666666667,13752.941666666664,39.666666666666664,652645178.3333334,25239577,249818.33333333334,118310.83333333334,3.666666666666667,0.6666666666666667,0.5,108930.66666666666,9380.166666666666,42790,30371662.333333336,22312.315,39.333333333333336,17,3474.5,161849,98440.16666666667,0,261953.8333333333
34,307247,10.130879090280489,35,17.81375111799382,32.96,9.08,827.8,28840,14.7,62.620000000000005,64.44,5867.646,11,278336818.2,4134194.6,312446.8,39740.2,1,1.2,0.6,36481.4,3258.8,17263.2,8253473.6,4214.794,6.6,3,528,24647.2,18362,0,56415.2
35,3369541.5,10.281821853017078,34.4,27.776174891365283,37.016666666666666,20.533333333333335,-8499.666666666668,33157,12.700000000000001,64.95,57.8,44947.92166666667,91.33333333333334,3780704742.999999,305010867.5,289664.3333333333,388537,7.333333333333334,3.333333333333333,2.5,344296.5,44240.5,149798.3333333333,66030099,46349.9216666665,76.33333333333334,27.666666666666664,6551.666666666666,305375.3333333334,201457.6666666667,16619571.166666666,476886.1666666666
