Name,State,MSA,Cluster ID,PC_demographics,PC_economics,PC_hospitals,PC_highered,PC_demographics_ntile,PC_economics_ntile,PC_hospitals_ntile,PC_highered_ntile,totpop_19,popchange,medage,poc,pov,youngpov,oldpov,labfor,emp,mbsaocc,serocc,salocc,ncmocc,ptmocc,houincome,wfh,pcinc,medearn,nohealthin,highed,forborn,noenglish,ownerocc,renterocc,net_mig,highered_emp_qcew,highered_inc_qcew,highered_estab_qcew,hospital_emp_qcew,hospital_inc_qcew,hospital_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_noncarnegie,inst_ipeds_associatescolleges,inst_ipeds_baccassoccollege,inst_ipeds_baccalaureatecolleges,inst_ipeds_masterscollegeuni,inst_ipeds_doctuniallother,inst_ipeds_doctoralunihighrese,inst_ipeds_specialfocus,inst_ipeds_tribalcolleges,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,inst_ipeds_pellnumberofstudents,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medpayments,inst_hosp_medbeneficiaries,impact_gva_direct,impact_share_allind_gva,impact_share_allind_emp,impact_share_allind_inc,regional_gva_allind,regional_emp_allind,regional_inc_allind,index_real_gdp_19,current_dollar_gdp_19,real_gdp_19,index_real_gdp_21,current_dollar_gdp_21,real_gdp_21,percapita_personal_income_19,total_income_pc_19,percapita_personal_income_21,total_income_pc_21
Athens-Clarke County,GA,Athens-Clarke CountyGA,8,0.44020291568110276,-1.517831308176895,0.210570086061113,16.053935513348655,77,5,62,97,208457,10.33440602968263,32.2,27.98226972469142,22,25.1,8.1,61.4,58.199999999999996,41.3,18.2,19.3,7.199999999999999,14.099999999999998,47214,5.6000000000000005,27653,25050,12.4,39.4,7.8,4.7,55.300000000000004,44.7,71,15154.7899999999,592684936.38,9,4596.52,328186574.63,10,1343986962,67194624,346792,49431,1,1,0,0,0,0,1,0,0,39271,10160,28216,5885080,1215,3,560,30114,23540,0,187902092.89,32235,1342101523.4203897,0.18700000643730164,0.23000000417232513,0.1509999930858612,10707349000,129810,9058138000,120.222,10756741,9267311,121.696,11562554,9380964,42765,9172485,48323,10522716
Johnstown,PA,JohnstownPA,2,-1.3135411852830219,-0.7136408764586367,0.5027024600069069,-0.7490225097463754,2,22,72,56,133009,-8.105512605274246,45.4,6.4732461713117155,15.4,25.3,8.799999999999999,54.900000000000006,51.6,32.300000000000004,19.400000000000002,21.8,10.100000000000001,16.400000000000002,46659,3.5000000000000004,26008,30056,4.2,21.099999999999998,1.0999999999999999,0.6,77.9,22.1,195,1514.76,52310897.92,5,1472.62,114677632.22,4,96699098,0,83181,13608,2,2,0,2,1,0,0,0,0,12772,836,4684,3188715,728,3,573,19220,15266,0,123423496.53,35283,239212603.92251414,0.07400000095367432,0.07599999755620956,0.04399999976158142,4942491000,65094,5805411000,92.302,4938312,4341581,90.882,5197201,4274754,43120,5781409,49472,6538569
Hagerstown-Martinsburg,MD-WV,Hagerstown-MartinsburgMD-WV,9,-0.719904446838255,0.4907346503125819,-0.5303844549172861,-3.622368158810179,16,68,27,22,283147,6.99003959977027,40.2,15.1511405736243,11.899999999999999,17.1,7.9,62,58.199999999999996,33.2,18.5,21.6,9.9,16.900000000000002,61138,4.5,30126,35077,6,21.3,4.3999999999999995,1.9,70.89999999999999,29.099999999999998,326,1764.65,83796141.5,19,6474.95,485761808.41,15,0,0,0,16711,3,3,0,1,0,0,0,1,0,16711,0,6416,3298808,732,3,514,25031,19187,0,419592515.38,49281,763853994.1899058,0.09799999743700027,0.10000000149011612,0.06499999761581421,11649263000,134336,12223315000,109.389,11841632,10206320,110.202,12755632,10282183,44846,13073049,51102,15239999
Hattiesburg,MS,HattiesburgMS,10,-0.09930675415641509,-1.443223877722359,1.3017824544329117,5.418680629638874,46,7,90,87,168177,20.910620308860327,35.2,32.57520350583017,22.400000000000002,29.099999999999998,12.5,60.6,54.800000000000004,35.699999999999996,16.8,23.400000000000002,9.6,14.499999999999998,46800,1.6,24974,26470,13.600000000000001,27.400000000000002,2.3,1.4000000000000001,65.4,34.599999999999994,-247,2163,85542152.49,2,3843.02999999999,254586628.07,4,104877602,4492387,129230,23959,3,0,0,0,0,1,1,1,0,18324,5635,9764,5625411,1191,4,873,37313,17670,0,206083542.41000003,25052,453574364.4113194,0.11100000143051147,0.0989999994635582,0.07800000160932541,5774547000,87933,5911040000,98.967,6354051,5582132,103.869,7181156,5858656,38676,6632320,44538,7708499
El Paso,TX,El PasoTX,11,0.8340207661819713,-1.1463278605155283,-0.4759949253690111,1.004636699126353,88,11,30,71,840477,8.830605479877773,32.2,20.39841661342309,20.200000000000003,28.599999999999998,18.6,62,55.60000000000001,31,21.099999999999998,25.3,9.2,13.5,46795,3.5000000000000004,21644,26301,20.3,23.200000000000003,24.2,31.900000000000002,65.3,34.699999999999996,-1136,10661.75,567276781.86,23,12384.73,916002762.33,27,0,17164399,256892,81911,8,3,1,0,0,0,1,2,0,76626,5285,28372,37455733,6771,12,1914,92225,63667,0,435363011.53,123578,2002519113.4019756,0.08900000154972076,0.08500000089406967,0.06499999761581421,34008567000,459065,32584324000,109.873,34051305,30024319,112.805,37507586,30825362,37883,32694880,44058,38384749
Columbia,SC,ColumbiaSC,3,0.3653847340139679,8.926227795740311e-4,-0.05789218891733631,-0.9172065572341711,73,46,50,53,824278,10.768465823193063,36.6,40.444607280553406,15,20.200000000000003,9.5,64.2,58.599999999999994,38.3,16.900000000000002,23.3,8,13.4,55971,3.5999999999999996,29894,31595,9.5,32.7,5,2.9000000000000004,69.69999999999999,30.3,1329,9657.31,441569225.12,34,21788.54,1724060925.55,37,797549907,43363219,177168,61027,9,1,0,2,3,0,1,2,0,49892,11135,28808,15546435,3240,8,2047,103694,75300,0,960338870.88,142063,2943625809.781337,0.10599999874830246,0.10499999672174454,0.0820000022649765,43886302000,513786,38888468000,116.3,44051088,38402891,119.641,48214448,39506122,47430,39135575,53286,44666614
Kahului-Wailuku-Lahaina,HI,Kahului-Wailuku-LahainaHI,12,1.1286926550752654,1.2696461369000904,0.0909108344916794,-4.151887075535396,92,89,58,15,165979,0,41.2,64.51900541634785,9.3,10.7,8.1,66.8,63.800000000000004,30.2,28.499999999999996,21.9,9.6,9.700000000000001,80948,5.8999999999999995,35241,37745,5,27.200000000000003,18.7,10.6,67.10000000000001,32.9,-214,824.79,44908307.15,56,1988.12,188829175.28,23,0,0,498340,4200,1,0,1,0,0,0,0,0,0,4200,0,1506,730299,157,4,367,14718,8706,0,102219390,27344,302305404.34029084,0.04500000178813934,0.04699999839067459,0.03999999910593033,10853679000,112725,8478321000,120.98,10871733,9209126,109.567,10356019,8340310,52301,8624269,58520,9615088
Evansville,IN-KY,EvansvilleIN-KY,13,-0.791243304622887,0.0532039773687273,1.2983016813941204,-2.4498539405264226,13,48,89,33,314960,-11.491791577444687,39.7,11.922783845567691,14.399999999999999,19.8,9,63.2,60.5,35,17.7,20.5,8.6,18.3,54063,2.4,30887,32241,6.4,25.900000000000002,2.6,1.2,68.8,31.2,649,3388.45,131677219.5,6,9480.26999999999,679753446.36,14,85666743,0,1074838,17961,2,1,0,0,2,0,0,1,0,15653,2308,7144,4201908,951,7,1368,58604,46230,0,447254155.82,63602,1145735035.4915311,0.10000000149011612,0.12600000202655792,0.08699999749660492,19875895000,194911,15492557000,111.674,19812532,17689111,110.53,21248968,17507972,49485,15519767,56650,17785111
Florence-Muscle Shoals,AL,Florence-Muscle ShoalsAL,2,-0.9061152244489379,-0.6846151288151145,0.7590059779460588,0.44311847452789516,9,22,78,70,147327,0.7653479973735999,41.7,16.0201456623701,14.899999999999999,19.2,9.3,54.900000000000006,52.300000000000004,29.9,16.900000000000002,22.900000000000002,10.6,19.7,48084,2.1999999999999997,27105,30084,8.3,21.5,2,1.2,71.89999999999999,28.1,286,1681.14,82399349.39,6,2003.87999999999,130156991.08,8,0,0,671966,13944,0,1,0,0,1,0,0,1,0,12091,1853,5310,3886813,791,3,601,25506,17086,0,218322465.05,35275,300701990.6273081,0.08100000023841858,0.07599999755620956,0.05299999937415123,5395654000,76853,5694326000,96.075,5406088,4708297,99.736,5989958,4887693,38390,5766498,44605,6758402
Wilmington,NC,WilmingtonNC,7,-0.259907032153935,-0.28798429229256906,-0.2270895624925607,2.7370036548802545,37,34,40,79,288337,-17.505335858687012,39.8,19.608652375518922,15.6,19.8,9.3,61.6,57.8,39.7,19,22.3,9,10.100000000000001,55265,7.5,33236,31094,9.9,37.9,5,2.4,64,36,1598,4753.87,262347277.85,11,2211.11,198108458.58,8,104945568,807184,394606,34395,1,1,1,0,0,0,1,0,0,31610,2785,14292,7961996,1643,2,784,38175,44441,0,414356308.47,57193,631431228.9510996,0.054999999701976776,0.054999999701976776,0.04399999976158142,15849704000,187604,13861118000,124.936,15820299,13643716,135.789,18203444,14829004,49275,14004178,55750,16269692
East Stroudsburg,PA,East StroudsburgPA,14,-0.3357394115539408,0.3455450994123708,-0.9515140891354115,-3.84259936392622,34,60,13,18,168032,0,42.9,23.677632831841557,11.200000000000001,14.7,8.1,61.8,57.699999999999996,31.3,19.5,24.3,9.5,15.4,63934,4.7,29662,32220,6.5,24.7,9.8,4.3,81.5,18.5,804,711.99,33920178.39,4,1911.84,141727408.94,3,0,0,0,7561,2,0,0,0,1,0,0,0,0,6541,1020,3124,3185559,665,2,329,15649,7650,0,250743837.61,31625,235052124.03070056,0.0430000014603138,0.054999999701976776,0.032999999821186066,8000539000,79562,7509106000,111.709,8025951,6838924,110.857,8493417,6786765,45196,7613060,53118,8991360
